Packet Length Variance,Bwd Packet Length Max,Max Packet Length,Total Length of Fwd Packets,Packet Length Mean,Fwd Packet Length Mean,Fwd IAT Std,Fwd Packet Length Max,Bwd Header Length,Fwd Header Length,PSH Flag Count,Flow IAT Std,Init_Win_bytes_backward,Flow IAT Mean,Bwd Packet Length Min,Flow IAT Max,min_seg_size_forward,Min Packet Length,Init_Win_bytes_forward,act_data_pkt_fwd
2617702.352,5792,5792,430,802.0666667,71.66666667,37000000.0,412,264,164,0,23000000.0,235,6378959.538,0,82800000,20,0,0,3
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,33304,396.0,0,396,32,0,99,0
2352.0,134,134,50,78.0,50.0,0.0,50,20,20,0,0.0,-1,30773.0,134,30773,20,50,-1,0
28661.91758,170,517,993,95.07142857,165.5,66457.32953,517,232,200,1,52590.51039,130,36779.75,0,135853,32,0,29200,3
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,1845.0,0,1845,20,6,360,1
9696700.839,20,8760,11601,1453.375,2900.25,19117.80598,8760,72,92,1,13942.00809,256,6365.666667,0,34734,20,0,29200,3
221390.1046,1448,1448,752,248.8888889,83.55555556,1737560.17,517,264,296,1,1231109.832,12579,316539.9375,0,4932915,32,0,29200,3
4686416.308,5792,5792,354,919.1538462,50.57142857,34700000.0,354,168,232,0,25600000.0,235,7740838.364,0,85000000,32,0,251,1
85.33333333,58,58,42,47.33333333,42.0,0.0,42,20,32,0,0.0,-1,30781.0,58,30781,32,42,-1,0
2087574.819,5792,5792,1564,694.5263158,156.4,4212722.365,391,264,328,1,3230940.314,235,1091651.353,0,12700000,32,0,29200,4
1083.0,98,98,41,60.0,41.0,0.0,41,32,20,0,0.0,-1,158086.0,98,158086,20,41,-1,0
4915.2,154,154,52,77.2,26.0,0.0,26,40,40,0,34716.36641,-1,20067.0,154,60154,20,26,-1,1
3830.7,155,155,84,87.2,42.0,0.0,42,40,40,0,124.3596934,-1,96.66666667,155,238,20,42,-1,1
76.8,56,56,80,46.4,40.0,0.0,40,40,40,0,48.03123983,-1,50.0,56,99,20,40,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,4003830.0,0,4003830,32,0,33304,0
0.0,0,6,30,6.0,6.0,12857.72038,6,0,100,0,12857.72038,-1,6755.0,0,26029,20,6,256,4
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,245,61.0,0,61,32,0,362,0
0.0,0,0,0,0.0,0.0,538.7267396,0,0,192,0,538.7267396,-1,400.0,0,1006,32,0,251,0
4708.2,218,218,146,112.2,73.0,0.0,90,72,64,0,68919280.8669767,-1,39836730.0,141,119417859,32,56,-1,1
410.7,73,73,72,50.8,36.0,0.0,36,80,80,0,59.18051481,-1,82.66666667,73,151,40,36,-1,1
1452.0,122,122,56,78.0,56.0,0.0,56,20,20,0,0.0,-1,30293.0,122,30293,20,56,-1,0
0.0,6,6,6,6.0,6.0,0.0,6,20,20,0,0.0,63435,29.0,6,29,20,6,10220,0
261863.3603,1430,1430,534,291.1176471,59.33333333,14798.29966,206,152,192,1,16949.90112,343,14014.2,0,42688,20,0,8192,8
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,3.0,0,3,20,6,131,1
118923.58487395,1460,1460,1388,173.3428571429,86.75,15099228.0186902,328,372,332,1,10233680.1402229,78,2007902.36363636,0,58796844,20,0,8192,15
5773033.654,8760,8760,56,833.5,7.0,36600000.0,20,112,172,0,28100000.0,229,8392154.583,0,97400000,20,0,256,6
154494.5359,1460,1460,540,187.7777778,54.0,421684.3962,206,152,212,1,335997.1792,31,149124.1875,0,1340012,20,0,8192,9
76.8,56,56,80,46.4,40.0,0.0,40,80,80,0,98.43949072,-1,60.33333333,56,174,40,40,-1,1
3044.3,167,167,110,93.6,55.0,0.0,58,52,64,0,47500000.0,-1,27500000.0,139,82400000,32,52,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,984.0,0,984,32,0,274,0
4915.2,175,175,94,98.2,47.0,0.0,47,40,52,0,126.439709,-1,74.0,175,220,20,47,-1,1
195231.7132,1460,1460,539,215.15,49.0,11257.17653,199,172,240,1,8061.33617,31,6310.388889,0,25274,20,0,29200,10
