flow_index,label,prediction,probability,inference_ms,top_shap_feature
0,BENIGN,0,0.00035,1.01,act_data_pkt_fwd
1,BENIGN,0,0.00035,1.314,act_data_pkt_fwd
2,BENIGN,0,0.00035,1.38,act_data_pkt_fwd
3,BENIGN,0,0.016159,1.778,act_data_pkt_fwd
4,BENIGN,0,8e-06,1.229,Flow IAT Max
5,BENIGN,0,8e-06,0.907,Flow IAT Max
6,BENIGN,0,6e-06,0.96,Flow IAT Max
7,BENIGN,0,8e-06,0.841,Flow IAT Max
8,BENIGN,0,5e-06,0.891,min_seg_size_forward
9,BENIGN,0,8e-06,0.942,Flow IAT Max
10,BENIGN,0,0.005842,1.309,Bwd Header Length
11,BENIGN,0,0.002886,1.71,act_data_pkt_fwd
12,BENIGN,0,6e-06,0.91,Flow IAT Max
13,BENIGN,0,0.014625,0.852,act_data_pkt_fwd
14,BENIGN,0,0.007934,0.853,act_data_pkt_fwd
15,BENIGN,0,0.005842,0.877,Bwd Header Length
16,BENIGN,0,5e-06,0.8,min_seg_size_forward
17,BENIGN,0,4.3e-05,0.945,min_seg_size_forward
18,BENIGN,0,0.003489,0.988,act_data_pkt_fwd
19,BENIGN,0,5e-06,1.008,Flow IAT Max
20,BENIGN,0,0.002797,1.332,act_data_pkt_fwd
21,BENIGN,0,8e-06,1.033,Flow IAT Max
22,BENIGN,0,0.005842,0.988,Bwd Header Length
23,BENIGN,0,4e-06,1.579,Flow IAT Max
24,BENIGN,0,0.000112,0.983,Bwd Packet Length Min
25,BENIGN,0,0.005842,0.961,Bwd Header Length
26,BENIGN,0,0.000141,1.097,act_data_pkt_fwd
27,BENIGN,0,0.004749,1.313,act_data_pkt_fwd
28,BENIGN,0,0.001816,2.444,Flow IAT Max
29,BENIGN,0,0.002063,1.02,Flow IAT Max
30,BENIGN,0,0.004237,1.209,Bwd Header Length
31,BENIGN,0,0.004237,1.034,Bwd Header Length
32,BENIGN,0,0.00019,0.941,min_seg_size_forward
33,BENIGN,0,0.008064,0.832,Flow IAT Max
34,BENIGN,0,6e-06,1.061,Flow IAT Max
35,BENIGN,0,0.000108,1.607,act_data_pkt_fwd
36,BENIGN,0,0.008064,2.525,Flow IAT Max
37,BENIGN,0,0.008064,1.086,Flow IAT Max
38,BENIGN,0,0.002355,1.211,Flow IAT Max
39,BENIGN,0,0.00042,0.959,Flow IAT Max
40,BENIGN,0,0.000141,0.932,act_data_pkt_fwd
41,BENIGN,0,3.8e-05,0.847,Flow IAT Max
