flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,payload_bytes_median,payload_bytes_skewness,payload_bytes_cov,payload_bytes_mode,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,fwd_payload_bytes_median,fwd_payload_bytes_skewness,fwd_payload_bytes_cov,fwd_payload_bytes_mode,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,bwd_payload_bytes_median,bwd_payload_bytes_skewness,bwd_payload_bytes_cov,bwd_payload_bytes_mode,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,median_header_bytes,skewness_header_bytes,cov_header_bytes,mode_header_bytes,variance_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,fwd_median_header_bytes,fwd_skewness_header_bytes,fwd_cov_header_bytes,fwd_mode_header_bytes,fwd_variance_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,bwd_median_header_bytes,bwd_skewness_header_bytes,bwd_cov_header_bytes,bwd_mode_header_bytes,bwd_variance_header_bytes,fwd_segment_size_mean,fwd_segment_size_max,fwd_segment_size_min,fwd_segment_size_std,fwd_segment_size_variance,fwd_segment_size_median,fwd_segment_size_skewness,fwd_segment_size_cov,fwd_segment_size_mode,bwd_segment_size_mean,bwd_segment_size_max,bwd_segment_size_min,bwd_segment_size_std,bwd_segment_size_variance,bwd_segment_size_median,bwd_segment_size_skewness,bwd_segment_size_cov,bwd_segment_size_mode,segment_size_mean,segment_size_max,segment_size_min,segment_size_std,segment_size_variance,segment_size_median,segment_size_skewness,segment_size_cov,segment_size_mode,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,active_median,active_skewness,active_cov,active_mode,active_variance,idle_min,idle_max,idle_mean,idle_std,idle_median,idle_skewness,idle_cov,idle_mode,idle_variance,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,fin_flag_percentage_in_total,psh_flag_percentage_in_total,urg_flag_percentage_in_total,ece_flag_percentage_in_total,syn_flag_percentage_in_total,ack_flag_percentage_in_total,cwr_flag_percentage_in_total,rst_flag_percentage_in_total,fwd_fin_flag_percentage_in_total,fwd_psh_flag_percentage_in_total,fwd_urg_flag_percentage_in_total,fwd_ece_flag_percentage_in_total,fwd_syn_flag_percentage_in_total,fwd_ack_flag_percentage_in_total,fwd_cwr_flag_percentage_in_total,fwd_rst_flag_percentage_in_total,bwd_fin_flag_percentage_in_total,bwd_psh_flag_percentage_in_total,bwd_urg_flag_percentage_in_total,bwd_ece_flag_percentage_in_total,bwd_syn_flag_percentage_in_total,bwd_ack_flag_percentage_in_total,bwd_cwr_flag_percentage_in_total,bwd_rst_flag_percentage_in_total,fwd_fin_flag_percentage_in_fwd_packets,fwd_psh_flag_percentage_in_fwd_packets,fwd_urg_flag_percentage_in_fwd_packets,fwd_ece_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_fwd_packets,fwd_ack_flag_percentage_in_fwd_packets,fwd_cwr_flag_percentage_in_fwd_packets,fwd_rst_flag_percentage_in_fwd_packets,bwd_fin_flag_percentage_in_bwd_packets,bwd_psh_flag_percentage_in_bwd_packets,bwd_urg_flag_percentage_in_bwd_packets,bwd_ece_flag_percentage_in_bwd_packets,bwd_syn_flag_percentage_in_bwd_packets,bwd_ack_flag_percentage_in_bwd_packets,bwd_cwr_flag_percentage_in_bwd_packets,bwd_rst_flag_percentage_in_bwd_packets,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,packets_IAT_median,packets_IAT_skewness,packets_IAT_cov,packets_IAT_mode,packets_IAT_variance,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,fwd_packets_IAT_median,fwd_packets_IAT_skewness,fwd_packets_IAT_cov,fwd_packets_IAT_mode,fwd_packets_IAT_variance,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,bwd_packets_IAT_median,bwd_packets_IAT_skewness,bwd_packets_IAT_cov,bwd_packets_IAT_mode,bwd_packets_IAT_variance,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,delta_start,handshake_duration,handshake_state,min_bwd_packets_delta_time,max_bwd_packets_delta_time,mean_packets_delta_time,mode_packets_delta_time,variance_packets_delta_time,std_packets_delta_time,median_packets_delta_time,skewness_packets_delta_time,cov_packets_delta_time,mean_bwd_packets_delta_time,mode_bwd_packets_delta_time,variance_bwd_packets_delta_time,std_bwd_packets_delta_time,median_bwd_packets_delta_time,skewness_bwd_packets_delta_time,cov_bwd_packets_delta_time,min_fwd_packets_delta_time,max_fwd_packets_delta_time,mean_fwd_packets_delta_time,mode_fwd_packets_delta_time,variance_fwd_packets_delta_time,std_fwd_packets_delta_time,median_fwd_packets_delta_time,skewness_fwd_packets_delta_time,cov_fwd_packets_delta_time,min_packets_delta_len,max_packets_delta_len,mean_packets_delta_len,mode_packets_delta_len,variance_packets_delta_len,std_packets_delta_len,median_packets_delta_len,skewness_packets_delta_len,cov_packets_delta_len,min_bwd_packets_delta_len,max_bwd_packets_delta_len,mean_bwd_packets_delta_len,mode_bwd_packets_delta_len,variance_bwd_packets_delta_len,std_bwd_packets_delta_len,median_bwd_packets_delta_len,skewness_bwd_packets_delta_len,cov_bwd_packets_delta_len,min_fwd_packets_delta_len,max_fwd_packets_delta_len,mean_fwd_packets_delta_len,mode_fwd_packets_delta_len,variance_fwd_packets_delta_len,std_fwd_packets_delta_len,median_fwd_packets_delta_len,skewness_fwd_packets_delta_len,cov_fwd_packets_delta_len,min_header_bytes_delta_len,max_header_bytes_delta_len,mean_header_bytes_delta_len,mode_header_bytes_delta_len,variance_header_bytes_delta_len,std_header_bytes_delta_len,median_header_bytes_delta_len,skewness_header_bytes_delta_len,cov_header_bytes_delta_len,min_bwd_header_bytes_delta_len,max_bwd_header_bytes_delta_len,mean_bwd_header_bytes_delta_len,mode_bwd_header_bytes_delta_len,variance_bwd_header_bytes_delta_len,std_bwd_header_bytes_delta_len,median_bwd_header_bytes_delta_len,skewness_bwd_header_bytes_delta_len,cov_bwd_header_bytes_delta_len,min_fwd_header_bytes_delta_len,max_fwd_header_bytes_delta_len,mean_fwd_header_bytes_delta_len,mode_fwd_header_bytes_delta_len,variance_fwd_header_bytes_delta_len,std_fwd_header_bytes_delta_len,median_fwd_header_bytes_delta_len,skewness_fwd_header_bytes_delta_len,cov_fwd_header_bytes_delta_len,min_payload_bytes_delta_len,max_payload_bytes_delta_len,mean_payload_bytes_delta_len,mode_payload_bytes_delta_len,variance_payload_bytes_delta_len,std_payload_bytes_delta_len,median_payload_bytes_delta_len,skewness_payload_bytes_delta_len,cov_payload_bytes_delta_len,min_bwd_payload_bytes_delta_len,max_bwd_payload_bytes_delta_len,mean_bwd_payload_bytes_delta_len,mode_bwd_payload_bytes_delta_len,variance_bwd_payload_bytes_delta_len,std_bwd_payload_bytes_delta_len,median_bwd_payload_bytes_delta_len,skewness_bwd_payload_bytes_delta_len,cov_bwd_payload_bytes_delta_len,min_fwd_payload_bytes_delta_len,max_fwd_payload_bytes_delta_len,mean_fwd_payload_bytes_delta_len,mode_fwd_payload_bytes_delta_len,variance_fwd_payload_bytes_delta_len,std_fwd_payload_bytes_delta_len,median_fwd_payload_bytes_delta_len,skewness_fwd_payload_bytes_delta_len,cov_fwd_payload_bytes_delta_len,label
15.207.68.195_443_192.168.29.57_62661_TCP_2026-04-12 20:10:03.493064,2026-04-12 20:10:03.493064,15.207.68.195,443,192.168.29.57,62661,TCP,0.0002930164337158203,6,3,3,63,63,0,39,0,,,,,,,,39,0,,,,,,,,0,0,,,,,,,,192,32,32,,,,,,,,96,32,32,,,,,,,,96,32,32,,,,,,,,,71,32,,,,,,,,32,32,,,,,,,,71,32,,,,,,,209,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215005.00569568755,215005.00569568755,0.0,20476.6672091131,10238.33360455655,10238.33360455655,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0.0001068115234375,2.1457672119140625e-06,0.0002930164337158203,0,0,0,0,0,,0,0.0002129077911376953,2.1457672119140625e-06,0.00021505355834960938,0,0,0,0,0,,0,0.0001342296600341797,4.982948303222656e-05,0.00018405914306640625,0,0,0,0,0,0,0,0,0,not a complete handshake,not a complete handshake,0,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,-15.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,-15.0,,,,,,,,Unknown
52.66.123.146_443_192.168.29.57_62683_TCP_2026-04-12 20:10:04.820905,2026-04-12 20:10:04.820905,52.66.123.146,443,192.168.29.57,62683,TCP,0.0008380413055419922,6,3,3,77,77,0,46,0,,,,,,,,46,0,,,,,,,,0,0,,,,,,,,192,32,32,,,,,,,,96,32,32,,,,,,,,96,32,32,,,,,,,,,78,32,,,,,,,,32,32,,,,,,,,78,32,,,,,,,198,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91880.91266002845,91880.91266002845,0.0,7159.551635846373,3579.7758179231864,3579.7758179231864,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0.000492095947265625,1.9073486328125e-06,0.0008380413055419922,0,0,0,0,0,,0,4.0531158447265625e-06,1.9073486328125e-06,5.9604644775390625e-06,0,0,0,0,0,,0,0.000492095947265625,0.0001399517059326172,0.0006320476531982422,0,0,0,0,0,0,0,0,0,not a complete handshake,not a complete handshake,0,,,,,,,,,,,,,,,,,,,,,,,,,,-31.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-31.0,-15.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-31.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-31.0,-15.0,,,,,,,,Unknown
13.235.219.26_443_192.168.29.57_62680_TCP_2026-04-12 20:10:05.143643,2026-04-12 20:10:05.143643,13.235.219.26,443,192.168.29.57,62680,TCP,0.0006771087646484375,6,3,3,63,63,0,39,0,,,,,,,,39,0,,,,,,,,0,0,,,,,,,,192,32,32,,,,,,,,96,32,32,,,,,,,,96,32,32,,,,,,,,,71,32,,,,,,,,32,32,,,,,,,,71,32,,,,,,,209,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93042.65915492958,93042.65915492958,0.0,8861.205633802816,4430.602816901408,4430.602816901408,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0.00034809112548828125,1.9073486328125e-06,0.0006771087646484375,0,0,0,0,0,,0,3.0994415283203125e-06,1.9073486328125e-06,5.0067901611328125e-06,0,0,0,0,0,,0,0.00034809112548828125,0.00011491775512695312,0.0004630088806152344,0,0,0,0,0,0,0,0,0,not a complete handshake,not a complete handshake,0,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,-15.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,0.0,,,,,,,,0.0,0.0,,,,,,,,-24.0,-15.0,,,,,,,,Unknown
192.168.29.57_62516_52.84.205.40_443_TCP_2026-04-12 20:09:57.329057,2026-04-12 20:09:57.329057,192.168.29.57,62516,52.84.205.40,443,TCP,14.103538990020752,7,4,3,39,0,39,39,0,,,,,,,,0,0,,,,,,,,39,0,,,,,,,,212,32,20,,,,,,,,116,32,20,,,,,,,,96,32,32,,,,,,,,,32,20,,,,,,,,71,32,,,,,,,,71,20,,,,,,,2048,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7652633872672134,0.0,2.7652633872672134,0.49632932591975626,0.21271256825132412,0.28361675766843214,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,3,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,,0,14.082940101623535,9.5367431640625e-07,14.103538990020752,0,0,0,0,0,,0,14.103363037109375,6.604194641113281e-05,14.103538990020752,0,0,0,0,0,,0,14.082940101623535,9.5367431640625e-07,14.082941055297852,0,0,0,0,0,4.0,3.0,0.0,0.0,not a complete handshake,not a complete handshake,0,,,,,,,,,,,,,,,,,,,,,,,,,,-39.0,39.0,,,,,,,,-39.0,39.0,,,,,,,,0.0,12.0,,,,,,,,0.0,12.0,,,,,,,,0.0,0.0,,,,,,,,0.0,12.0,,,,,,,,-39.0,39.0,,,,,,,,-39.0,39.0,,,,,,,,0.0,0.0,,,,,,,,Unknown
192.168.29.57_62713_52.242.103.142_443_TCP_2026-04-12 20:10:03.958355,2026-04-12 20:10:03.958355,192.168.29.57,62713,52.242.103.142,443,TCP,10.512370109558105,25,12,13,10437,2217,8220,1448,0,,,,,,,,1428,0,,,,,,,,1448,0,,,,,,,,820,44,32,,,,,,,,396,44,32,,,,,,,,424,40,32,,,,,,,,,1460,32,,,,,,,,1480,32,,,,,,,,1480,32,,,,,,,65535,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.8303409438013,210.89440125250624,781.9359396912951,2.378150668160873,1.236638347443654,1.141512320717219,1.0833333333333333,0,0,0,7590.0,6.0,4167945.451688924,0,0,0,0,1,7590,6,0.0018210411071777344,2,9,0,0,2,24,0,0,1,2,0,0,1,11,0,0,1,7,0,0,1,13,0,0,0.08,0.36,0.0,0.0,0.08,0.96,0.0,0.0,0.04,0.08,0.0,0.0,0.04,0.44,0.0,0.0,0.04,0.28,0.0,0.0,0.04,0.52,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,,0,8.073399066925049,1.9073486328125e-06,10.512370109558105,0,0,0,0,0,,0,8.073523998260498,5.4836273193359375e-05,10.512370109558105,0,0,0,0,0,,0,8.073590993881226,1.9073486328125e-06,8.55342698097229,0,0,0,0,0,6.0,6.5,1108.5,1108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-719.0,1428.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-719.0,1428.0,,,,,,,,Unknown
192.168.29.57_62715_52.242.103.142_443_TCP_2026-04-12 20:10:15.388898,2026-04-12 20:10:15.388898,192.168.29.57,62715,52.242.103.142,443,TCP,1.0991530418395996,27,15,12,12042,3846,8196,1448,0,,,,,,,,1428,0,,,,,,,,1448,0,,,,,,,,884,44,32,,,,,,,,492,44,32,,,,,,,,392,40,32,,,,,,,,,1460,32,,,,,,,,1480,32,,,,,,,,1480,32,,,,,,,65535,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10955.70820587994,3499.057777762353,7456.6504281175885,24.564368174618703,10.9174969664972,13.646871208121501,0.8,0,0,0,7590.0,6.0,1551175.138137699,0,0,0,0,1,7590,6,0.004893064498901367,2,10,0,0,2,26,0,0,1,4,0,0,1,14,0,0,1,6,0,0,1,12,0,0,0.07407407407407407,0.37037037037037035,0.0,0.0,0.07407407407407407,0.9629629629629629,0.0,0.0,0.037037037037037035,0.14814814814814814,0.0,0.0,0.037037037037037035,0.5185185185185185,0.0,0.0,0.037037037037037035,0.2222222222222222,0.0,0.0,0.037037037037037035,0.4444444444444444,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,,0,0.2395780086517334,1.9073486328125e-06,1.0991530418395996,0,0,0,0,0,,0,0.24111700057983398,6.985664367675781e-05,0.8641390800476074,0,0,0,0,0,,0,0.38174891471862793,1.9073486328125e-06,0.8621540069580078,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-1011.0,1428.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-1011.0,1428.0,,,,,,,,Unknown
192.168.29.57_62724_141.226.224.32_443_TCP_2026-04-12 20:10:16.900315,2026-04-12 20:10:16.900315,192.168.29.57,62724,141.226.224.32,443,TCP,0.7729630470275879,21,13,8,2963,2576,387,1448,0,,,,,,,,1448,0,,,,,,,,150,0,,,,,,,,692,44,32,,,,,,,,428,44,32,,,,,,,,264,40,32,,,,,,,,,1480,32,,,,,,,,182,32,,,,,,,,1480,32,,,,,,,65535,43440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833.3009726585897,3332.630207751781,500.67076490680876,27.168181041454737,10.34978325388752,16.818397787567218,0.6153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,20,0,0,1,5,0,0,1,12,0,0,1,3,0,0,1,8,0,0,0.09523809523809523,0.38095238095238093,0.0,0.0,0.09523809523809523,0.9523809523809523,0.0,0.0,0.047619047619047616,0.23809523809523808,0.0,0.0,0.047619047619047616,0.5714285714285714,0.0,0.0,0.047619047619047616,0.14285714285714285,0.0,0.0,0.047619047619047616,0.38095238095238093,0.0,0.0,0.07692307692307693,0.38461538461538464,0.0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.125,0.375,0.0,0.0,0.125,1.0,0.0,0.0,,0,0.2773170471191406,1.9073486328125e-06,0.7729630470275879,0,0,0,0,0,,0,0.27747106552124023,9.059906005859375e-06,0.7729630470275879,0,0,0,0,0,,0,0.2451457977294922,1.9073486328125e-06,0.49501991271972656,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1139.0,1448.0,,,,,,,,-150.0,150.0,,,,,,,,-1139.0,1448.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1139.0,1448.0,,,,,,,,-150.0,150.0,,,,,,,,-1139.0,1448.0,,,,,,,,Unknown
192.168.29.57_62722_52.242.103.142_443_TCP_2026-04-12 20:10:16.825946,2026-04-12 20:10:16.825946,192.168.29.57,62722,52.242.103.142,443,TCP,9.655105829238892,27,15,12,10373,2153,8220,1448,0,,,,,,,,1428,0,,,,,,,,1448,0,,,,,,,,884,44,32,,,,,,,,492,44,32,,,,,,,,392,40,32,,,,,,,,,1460,32,,,,,,,,1480,32,,,,,,,,1480,32,,,,,,,65535,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.3538375920318,222.99082351640263,851.3630140756292,2.796447856452797,1.2428657139790207,1.553582142473776,0.8,0,0,0,7590.0,6.0,953736.4019293567,0,0,0,0,1,7590,6,0.007958173751831055,2,9,0,0,2,26,0,0,1,2,0,0,1,14,0,0,1,7,0,0,1,12,0,0,0.07407407407407407,0.3333333333333333,0.0,0.0,0.07407407407407407,0.9629629629629629,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.0,0.037037037037037035,0.5185185185185185,0.0,0.0,0.037037037037037035,0.25925925925925924,0.0,0.0,0.037037037037037035,0.4444444444444444,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.08333333333333333,0.5833333333333334,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,,0,4.744322061538696,2.1457672119140625e-06,9.655105829238892,0,0,0,0,0,,0,4.744476079940796,5.9604644775390625e-06,9.655105829238892,0,0,0,0,0,,0,4.744417905807495,2.1457672119140625e-06,5.218654155731201,0,0,0,0,0,7.5,6.0,1076.5,1076.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-783.0,1428.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1448.0,1448.0,,,,,,,,-850.0,1448.0,,,,,,,,-783.0,1428.0,,,,,,,,Unknown
192.168.29.57_62725_141.226.224.32_443_TCP_2026-04-12 20:10:17.151564,2026-04-12 20:10:17.151564,192.168.29.57,62725,141.226.224.32,443,TCP,9.329341173171997,15,9,6,1995,1776,219,1448,0,,,,,,,,1448,0,,,,,,,,150,0,,,,,,,,500,44,32,,,,,,,,300,44,32,,,,,,,,200,40,32,,,,,,,,,1480,32,,,,,,,,182,32,,,,,,,,1480,32,,,,,,,65535,43440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.84146671974432,190.36714029787765,23.47432642186667,1.6078305768401828,0.6431322307360732,0.9646983461041096,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,14,0,0,1,2,0,0,1,8,0,0,1,2,0,0,1,6,0,0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.13333333333333333,0.9333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.5333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.4,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,,0,5.002781867980957,8.106231689453125e-06,9.329341173171997,0,0,0,0,0,,0,5.002974987030029,8.106231689453125e-06,9.329341173171997,0,0,0,0,0,,0,5.002903938293457,0.0010597705841064453,5.588315963745117,0,0,0,0,0,4.5,3.0,888.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1171.0,1448.0,,,,,,,,-81.0,150.0,,,,,,,,-1171.0,1448.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1171.0,1448.0,,,,,,,,-81.0,150.0,,,,,,,,-1171.0,1448.0,,,,,,,,Unknown
192.168.29.57_62719_66.117.22.113_443_TCP_2026-04-12 20:10:16.564412,2026-04-12 20:10:16.564412,192.168.29.57,62719,66.117.22.113,443,TCP,30.283108949661255,43,23,20,13058,4701,8357,1448,0,,,,,,,,1448,0,,,,,,,,1448,0,,,,,,,,1396,44,32,,,,,,,,748,44,32,,,,,,,,648,40,32,,,,,,,,,1480,32,,,,,,,,1480,32,,,,,,,,1480,32,,,,,,,65535,62643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.1974712274734,155.23505224692542,275.9624189805479,1.4199334708823215,0.6604341725034054,0.7594992983789162,0.8695652173913043,2632.0,6.0,75009.22804299672,4412.0,4.0,411255.6225526146,1,2632,6,0.03508901596069336,1,4412,4,0.010728120803833008,2,14,0,0,2,42,0,0,1,7,0,0,1,22,0,0,1,7,0,0,1,20,0,0,0.046511627906976744,0.32558139534883723,0.0,0.0,0.046511627906976744,0.9767441860465116,0.0,0.0,0.023255813953488372,0.16279069767441862,0.0,0.0,0.023255813953488372,0.5116279069767442,0.0,0.0,0.023255813953488372,0.16279069767441862,0.0,0.0,0.023255813953488372,0.46511627906976744,0.0,0.0,0.043478260869565216,0.30434782608695654,0.0,0.0,0.043478260869565216,0.9565217391304348,0.0,0.0,0.05,0.35,0.0,0.0,0.05,1.0,0.0,0.0,,0,10.20273208618164,0.0,30.283108949661255,0,0,0,0,0,,0,10.202906131744385,4.0531158447265625e-06,30.242304801940918,0,0,0,0,0,,0,10.202914953231812,0.0,30.220896005630493,0,0,0,0,0,7.666666666666667,6.666666666666667,1567.0,1567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1448.0,1448.0,,,,,,,,-1380.0,1448.0,,,,,,,,-1329.0,1448.0,,,,,,,,-8.0,0.0,,,,,,,,-8.0,0.0,,,,,,,,-12.0,0.0,,,,,,,,-1448.0,1448.0,,,,,,,,-1380.0,1448.0,,,,,,,,-1329.0,1448.0,,,,,,,,Unknown
